06	261,59	29,93
12	301,45	34,93	515,4
16	401,7	47,37	431,4
19	272,51	32,48	500
24	200,01	22,1
25	313,88	37,5	913

01	419,17	49,43	749
10	395,37	47,18	760,7
29	200,62	24,23	719,9

04	250,03	28,64	437,7
07	150,67	15,63	520,4
11	478,16	54,46	250,4

01	474,44	51,07	854,1
18	424,47	49,82	830,7
26	432,91	46,35	819,8
29	150
30	356,35	41,63	1028,8

09	413,76	48,45	821,9
15	233,47	27,96	459
19	151,77	17,11
20	358,31	42,86	951,7
28	332,29	37,21	620,2

07	360,99	45,35	772,1
12	435,63	53,19	886,7
16	325,98	39,9	681,3
20	331,88	42,01	703,8
23	369,4	46,76	816,8
28	304,72	39,99	673,6

05	321,79	39,58	984,5
10	328,75	41,72	646,8
18	336,23	43,61	725,6
22	354,68	45,24	739,3
29	429,85	54,55	910,1

06	414,88	52,65	875
12	150,5	18,22
16	355,57	44,67	1081,8
21	232,16	29,84	501,6
27	381,36	48,83	799,3

03	425	53,73	1174,5
09	400,33	50,61	865,1
15			741,6
21	150,65	18,35
30	348,51	44,51	750,3

06	321,72	42,11	693,1
14	372,08	51,25	798,4
21	347,97	49,01	830,5
28	282,63	39,92	618,4
31	232,58	32,85	493,4

13	329,98	46,74	795,2
16	180,08	26,56	442,4
26	283,5	42	692,6

05	333,54	49,05	812,1
13	297,2	44,16	705,3
25	319,03	46,17	807,4

07	335,68	47,48	722,4
21	100,27	12,44
23	349,19	49	1018,9

01	387,18	53,85	884,2
08	245,97	35,34	595,8
18	378,45	51,42	831,7

05	394,55	54,42	883,8
14	397,21	53,97	860
20	100,44	12,65
23	355,79	46,57	966,2
31	152,16	19,02

04	417,09	53,2	1252,6
14	396,69	51,12	889
22	414,07	54,99	933,9
28	52,02	6,56

06	374,27	48,86	847,8
09	273,39	36,21	587,1
19	150,06	18,39
21	279,84	38,23	961
28	242,57	32,56	568,3

04	369,86	52,24	874,9
12	355,36	49,77	841,7
18	348,59	46,79	831,8
26	400,68	52,79	964,7

02	380,44	50,19	854,5
12	388,28	51,36	882,4
20	373,93	50,6	883,6
28	363,03	48,02	826,7

05	411,27	53,69	899,2
13	403,65	50,71	832,2
20	464,81	52,94	860,9
28	390,42	49,11	802,9

04	426,62	55,55	908,4
12	338,39	45,79	783,7
20	422,73	53,92	869,2
27	426,73	54,36	878,8

02	393,21	49,9	821,1
10	405,83	50,92	880
20	407,38	49,2	793,5
27	458,92	50,21	788,6

05	462,38	54,72	897,4
14	445,86	54,64	857,5
20	413,62	50,38	790,7
24	400,23	49,35	842,9

01	461,42	55,66	873,2
11	431,79	52,98	880,4
20	460,28	54,6	854,2
27	289,42	34,09

03	452,43	53,29	1419,6
15	452,94	53,35	865,1
19	336,71	39,8	661,9
24	402,61	48,86	784,6
30	407,88	47,93	821,9

06	466,29	55,91
18	430,27	50,09	1751,1
25	447,59	52,72	882,6

04	469,88	56,34	986,6
14	367,46	45,99	821,3
20	326,03	39,76	715
26	428,99	52,38	937,6

02	407,18	47,96	910,9
07	437,71	52,8	955,9
16	368,82	46,16	826,1
24	445,63	55,22	1015,1
30	396,86	51,01	903,9

05	433,14	54,21	913,9
12	436,4	55,31	941,4
23	383,92	48,11	856,7

08	451,3	53,79	906,2
17	424,48	54,49	937,8
25	402,82	51,71	913,4

02	400,78	49,54	895
08	487,22	56,72	902,1
17	464,06		977,3
21	429,65	52,46	913,9
29			886,3
