5	598,3	50,32	784,3
17	599,06	49,55	795,1
23			
27	610,64	48,89	720,1

8	671	43,6	705,1
23			730

7	654,77	47,14	776,7
20	633,94	43,45	714,9

3	707,16	46,25	787,1
13	517,07	35,44	
23	602,08	42,43	686,7

3	639,73	40,26	677,6
8	774,59	47,26	745,2
18	745,36	44,13	745,3
29	780,69	48,52	2168,1

31	728,51	47,96	772,3

12	751,45	52,22	821,5
19	427,65	28,34	470,5
24	753,43	48,64	847,1

8	723,06	48,56	812,5
12	675,01	45,95	743
19	700,7	49,73	851,2
29	648,84	43,87	725

6	776,86	48,89	820
18	833,3	51,47	838,9
30	779,71		823,8

17	677,43		747,9
29	544,69		

13	555,34	43,42	
23	636,19	47,87	770,1
30	602,15	44,97	699,3

14	681,44	49,06	786,6
27	703,25	50,63	842,9

5	626,39	47,49	779,5
18	646,56	50,16	867,90

2	639,99	49,65	830,7
18	640,07	51,66	872,9
31	605,48	49,67	

12	625,96	51,35	614,3
25	510,32	42,21	759,8

11	540,57	47,46	801,2
