
Peugeot 307	06-03-2015	261,59	29,93
Peugeot 307	12-03-2015	301,45	34,93	515,4
Peugeot 307	16-03-2015	401,7	47,37	431,4
Peugeot 307	19-03-2015	272,51	32,48	500
Peugeot 307	24-03-2015	200,01	22,1
Peugeot 307	25-03-2015	313,88	37,5	913
Peugeot 307	01-04-2015	419,17	49,43	749
Peugeot 307	10-04-2015	395,37	47,18	760,7
Peugeot 307	29-04-2015	200,62	24,23	719,9
Peugeot 307	04-05-2015	250,03	28,64	437,7
Peugeot 307	07-05-2015	150,67	15,63	520,4
Peugeot 307	11-05-2015	478,16	54,46	250,4
Peugeot 307	01-06-2015	474,44	51,07	854,1
Peugeot 307	18-06-2015	424,47	49,82	830,7
Peugeot 307	26-06-2015	432,91	46,35	819,8
Peugeot 307	29-06-2015	150
Peugeot 307	30-06-2015	356,35	41,63	1028,8
Peugeot 307	09-07-2015	413,76	48,45	821,9
Peugeot 307	15-07-2015	233,47	27,96	459
Peugeot 307	19-07-2015	151,77	17,11
Peugeot 307	20-07-2015	358,31	42,86	951,7
Peugeot 307	28-07-2015	332,29	37,21	620,2
Peugeot 307	07-08-2015	360,99	45,35	772,1
Peugeot 307	12-08-2015	435,63	53,19	886,7
Peugeot 307	16-08-2015	325,98	39,9	681,3
Peugeot 307	20-08-2015	331,88	42,01	703,8
Peugeot 307	23-08-2015	369,4	46,76	816,8
Peugeot 307	28-08-2015	304,72	39,99	673,6
Peugeot 307	05-09-2015	321,79	39,58	984,5
Peugeot 307	10-09-2015	328,75	41,72	646,8
Peugeot 307	18-09-2015	336,23	43,61	725,6
Peugeot 307	22-09-2015	354,68	45,24	739,3
Peugeot 307	29-09-2015	429,85	54,55	910,1
Peugeot 307	06-10-2015	414,88	52,65	875
Peugeot 307	12-10-2015	150,5	18,22
Peugeot 307	16-10-2015	355,57	44,67	1081,8
Peugeot 307	21-10-2015	232,16	29,84	501,6
Peugeot 307	27-10-2015	381,36	48,83	799,3
Peugeot 307	03-11-2015	425	53,73	1174,5
Peugeot 307	09-11-2015	400,33	50,61	865,1
Peugeot 307	15-11-2015			741,6
Peugeot 307	21-11-2015	150,65	18,35
Peugeot 307	30-11-2015	348,51	44,51	750,3
Peugeot 307	06-12-2015	321,72	42,11	693,1
Peugeot 307	14-12-2015	372,08	51,25	798,4
Peugeot 307	21-12-2015	347,97	49,01	830,5
Peugeot 307	28-12-2015	282,63	39,92	618,4
Peugeot 307	31-12-2015	232,58	32,85	493,4
Peugeot 307	13-01-2016	329,98	46,74	795,2
Peugeot 307	16-01-2016	180,08	26,56	442,4
Peugeot 307	26-01-2016	283,5	42	692,6
Peugeot 307	05-02-2016	333,54	49,05	812,1
Peugeot 307	13-02-2016	297,2	44,16	705,3
Peugeot 307	25-02-2016	319,03	46,17	807,4
Peugeot 307	07-03-2016	335,68	47,48	722,4
Peugeot 307	21-03-2016	100,27	12,44
Peugeot 307	23-03-2016	349,19	49	1018,9
Peugeot 307	01-04-2016	387,18	53,85	884,2
Peugeot 307	08-04-2016	245,97	35,34	595,8
Peugeot 307	18-04-2016	378,45	51,42	831,7
Peugeot 307	05-05-2016	394,55	54,42	883,8
Peugeot 307	14-05-2016	397,21	53,97	860
Peugeot 307	20-05-2016	100,44	12,65
Peugeot 307	23-05-2016	355,79	46,57	966,2
Peugeot 307	31-05-2016	152,16	19,02
Peugeot 307	04-06-2016	417,09	53,2	1252,6
Peugeot 307	14-06-2016	396,69	51,12	889
Peugeot 307	22-06-2016	414,07	54,99	933,9
Peugeot 307	28-06-2016	52,02	6,56
Peugeot 307	06-07-2016	374,27	48,86	847,8
Peugeot 307	09-07-2016	273,39	36,21	587,1
Peugeot 307	19-07-2016	150,06	18,39
Peugeot 307	21-07-2016	279,84	38,23	961
Peugeot 307	28-07-2016	242,57	32,56	568,3
Peugeot 307	04-08-2016	369,86	52,24	874,9
Peugeot 307	12-08-2016	355,36	49,77	841,7
Peugeot 307	18-08-2016	348,59	46,79	831,8
Peugeot 307	26-08-2016	400,68	52,79	964,7
Peugeot 307	02-09-2016	380,44	50,19	854,5
